Year,Quarter,Date,Ticker
2015,1,2015-03-31,A
2015,1,2015-03-31,AABA
2015,1,2015-03-31,AAL
2015,1,2015-03-31,AAPL
2015,1,2015-03-31,ABBV
2015,1,2015-03-31,ABC
2015,1,2015-03-31,ABT
2015,1,2015-03-31,ACN
2015,1,2015-03-31,ADBE
2015,1,2015-03-31,ADI
2015,1,2015-03-31,ADM
2015,1,2015-03-31,ADP
2015,1,2015-03-31,ADS
2015,1,2015-03-31,ADSK
2015,1,2015-03-31,ADT
2015,1,2015-03-31,AEE
2015,1,2015-03-31,AEP
2015,1,2015-03-31,AES
2015,1,2015-03-31,AET
2015,1,2015-03-31,AFL
2015,1,2015-03-31,AGN
2015,1,2015-03-31,AIG
2015,1,2015-03-31,AIV
2015,1,2015-03-31,AIZ
2015,1,2015-03-31,AKAM
2015,1,2015-03-31,ALL
2015,1,2015-03-31,ALLE
2015,1,2015-03-31,ALTR
2015,1,2015-03-31,ALXN
2015,1,2015-03-31,AMAT
2015,1,2015-03-31,AME
2015,1,2015-03-31,AMG
2015,1,2015-03-31,AMGN
2015,1,2015-03-31,AMP
2015,1,2015-03-31,AMT
2015,1,2015-03-31,AMZN
2015,1,2015-03-31,AN
2015,1,2015-03-31,ANDV
2015,1,2015-03-31,ANTM
2015,1,2015-03-31,AON
2015,1,2015-03-31,APA
2015,1,2015-03-31,APC
2015,1,2015-03-31,APD
2015,1,2015-03-31,APH
2015,1,2015-03-31,APTV
2015,1,2015-03-31,ARG
2015,1,2015-03-31,ARNC
2015,1,2015-03-31,ATI
2015,1,2015-03-31,AVB
2015,1,2015-03-31,AVGO
2015,1,2015-03-31,AVY
2015,1,2015-03-31,AXP
2015,1,2015-03-31,AZO
2015,1,2015-03-31,BA
2015,1,2015-03-31,BAC
2015,1,2015-03-31,BAX
2015,1,2015-03-31,BBBY
2015,1,2015-03-31,BBT
2015,1,2015-03-31,BBY
2015,1,2015-03-31,BCR
2015,1,2015-03-31,BDX
2015,1,2015-03-31,BEN
2015,1,2015-03-31,BF.B
2015,1,2015-03-31,BHGE
2015,1,2015-03-31,BIIB
2015,1,2015-03-31,BK
2015,1,2015-03-31,BKNG
2015,1,2015-03-31,BLK
2015,1,2015-03-31,BLL
2015,1,2015-03-31,BMY
2015,1,2015-03-31,BRCM
2015,1,2015-03-31,BRK.B
2015,1,2015-03-31,BSX
2015,1,2015-03-31,BWA
2015,1,2015-03-31,BXP
2015,1,2015-03-31,C
2015,1,2015-03-31,CA
2015,1,2015-03-31,CAG
2015,1,2015-03-31,CAH
2015,1,2015-03-31,CAM
2015,1,2015-03-31,CAT
2015,1,2015-03-31,CB
2015,1,2015-03-31,CBRE
2015,1,2015-03-31,CBS
2015,1,2015-03-31,CCE
2015,1,2015-03-31,CCI
2015,1,2015-03-31,CCL
2015,1,2015-03-31,CELG
2015,1,2015-03-31,CERN
2015,1,2015-03-31,CF
2015,1,2015-03-31,CHK
2015,1,2015-03-31,CHRW
2015,1,2015-03-31,CI
2015,1,2015-03-31,CINF
2015,1,2015-03-31,CL
2015,1,2015-03-31,CLX
2015,1,2015-03-31,CMA
2015,1,2015-03-31,CMCSA
2015,1,2015-03-31,CME
2015,1,2015-03-31,CMG
2015,1,2015-03-31,CMI
2015,1,2015-03-31,CMS
2015,1,2015-03-31,CNP
2015,1,2015-03-31,CNX
2015,1,2015-03-31,COF
2015,1,2015-03-31,COG
2015,1,2015-03-31,COL
2015,1,2015-03-31,COP
2015,1,2015-03-31,COST
2015,1,2015-03-31,CPB
2015,1,2015-03-31,CRM
2015,1,2015-03-31,CSCO
